"X".	"Y".	"Species".	"Diam"
"1250".	30.52.	22.93.	"PISY".	15.99
"1251".	29.39.	19.18.	"PISY".	17.36
"1252".	25.31.	24.27.	"PISY".	8.69
"1253".	29.62.	28.1.	"PISY".	9
"1254".	26.6.	24.05.	"PISY".	9.36
"1255".	25.9.	26.59.	"PISY".	9.99
"1256".	27.9.	24.55.	"PISY".	10.36
"1257".	25.48.	31.88.	"PISY".	10.52
"1258".	25.53.	24.2.	"PISY".	11.07
"1259".	28.89.	25.88.	"PISY".	11.58
"1260".	30.79.	28.1.	"PISY".	11.84
"1261".	26.97.	25.9.	"PISY".	11.86
"1262".	24.46.	31.29.	"PISY".	12.01
"1263".	30.04.	27.99.	"PISY".	12.47
"1264".	26.	25.33.	"PISY".	13.5
"1265".	24.25.	30.14.	"PISY".	14.48
"1266".	31.95.	27.8.	"PISY".	16.32
"1267".	24.77.	26.49.	"PISY".	16.94
"1268".	29.74.	28.01.	"PISY".	17.13
"1269".	25.05.	35.84.	"PISY".	8.98
"1270".	28.46.	37.06.	"PISY".	9.38
"1271".	30.94.	36.57.	"PISY".	9.9
"1272".	28.33.	35.15.	"PISY".	9.96
"1273".	29.	38.03.	"PISY".	10.46
"1274".	25.62.	35.06.	"PISY".	11.31
"1275".	28.72.	37.96.	"PISY".	11.88
"1276".	31.47.	32.06.	"PISY".	12.32
"1277".	30.08.	37.05.	"PISY".	14.32
"1278".	24.93.	38.4.	"PISY".	14.88
"1279".	28.54.	39.91.	"PISY".	14.91
"1280".	27.54.	38.38.	"PISY".	14.95
"1281".	26.33.	39.24.	"PISY".	15.07
"1282".	27.59.	36.29.	"PISY".	15.92
"1283".	31.77.	37.72.	"PISY".	15.98
"1284".	30.84.	34.45.	"PISY".	16.42
"1285".	25.32.	38.04.	"PISY".	16.53
"1286".	25.01.	36.94.	"PISY".	16.7
"1287".	30.3.	38.62.	"PISY".	16.73
"1288".	30.9.	32.74.	"PISY".	16.8
"1289".	31.17.	36.9.	"PISY".	16.94
"1290".	28.79.	42.06.	"PISY".	7.57
"1291".	26.31.	46.28.	"PISY".	8.45
"1292".	25.79.	41.33.	"PISY".	9.42
"1293".	29.52.	42.19.	"PISY".	9.82
"1294".	26.02.	46.76.	"PISY".	10.16
"1295".	27.98.	45.67.	"PISY".	11.18
"1296".	26.56.	42.6.	"PISY".	11.29
"1297".	31.41.	41.21.	"PISY".	12.77
"1298".	27.29.	43.54.	"PISY".	13.4
"1299".	28.76.	45.9.	"PISY".	13.51
"1300".	24.04.	40.86.	"PISY".	13.79
"1301".	26.77.	47.77.	"PISY".	14.42
"1302".	28.11.	42.78.	"PISY".	14.74
"1303".	31.55.	43.78.	"PISY".	15.27
"1304".	26.35.	43.38.	"PISY".	15.86
"1305".	25.38.	44.26.	"PISY".	16.45
"1306".	28.12.	54.86.	"PISY".	7.64
